laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0652,Akutagawa Prize,Japan,1935,2001,H2,Yū Nagashima,Japan,Asia,Mō-Supīdo de Haha wa (猛スピードで母は),Bungakukai,,Standard,2000
L0653,Akutagawa Prize,Japan,1935,2002,H1,Shūichi Yoshida,Japan,Asia,Pāku Raifu (パーク・ライフ),Bungakukai,,Standard,2000
L0654,Akutagawa Prize,Japan,1935,2002,H2,Tamaki Daidō,Japan,Asia,Shoppai Doraibu (しょっぱいドライブ),Bungakukai,,Standard,2000
L0655,Akutagawa Prize,Japan,1935,2003,H1,Man'ichi Yoshimura,Japan,Asia,Hariganemushi (ハリガネムシ),Bungakukai,,Standard,2000
L0656,Akutagawa Prize,Japan,1935,2003,H2,Hitomi Kanehara,Japan,Asia,"Snakes and Earrings (蛇にピアス, Hebi ni Piasu)",Subaru [ja],Co-laureate,Co-laureate,2000
L0657,Akutagawa Prize,Japan,1935,2003,H2,Risa Wataya,Japan,Asia,"I Want to Kick You in the Back (蹴りたい背中, Keritai Senaka)",Bungei,Co-laureate,Co-laureate,2000
L0658,Akutagawa Prize,Japan,1935,2004,H1,Norio Mobu,Japan,Asia,Kaigo Nyūmon (介護入門),Bungakukai,,Standard,2000
L0659,Akutagawa Prize,Japan,1935,2004,H2,Kazushige Abe,Japan,Asia,Gurando Fināre (グランド･フィナーレ),Gunzō,,Standard,2000
L0660,Akutagawa Prize,Japan,1935,2005,H1,Fuminori Nakamura,Japan,Asia,"The Boy in the Earth (土の中の子供, Tsuchi no Naka no Kodomo)",Shinchō,,Standard,2000
L0661,Akutagawa Prize,Japan,1935,2005,H2,Akiko Itoyama,Japan,Asia,"Waiting in the Offing (沖で待つ, Oki de Matsu)",Bungakukai,,Standard,2000
L0662,Akutagawa Prize,Japan,1935,2006,H1,Takami Itō,Japan,Asia,Hachigatsu no Rojō ni Suteru (八月の路上に捨てる),Bungakukai,,Standard,2000
L0663,Akutagawa Prize,Japan,1935,2006,H2,Nanae Aoyama,Japan,Asia,"A Perfect Day to Be Alone (ひとり日和, Hitori Biyori)",Bungei,,Standard,2000
