prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1999,H2,Gen Getsu,Japan,Kage no Sumika (蔭の棲みか),Bungakukai,
Akutagawa,Japan,1999,H2,Chiya Fujino,Japan,Natsu no Yakusoku (夏の約束),Gunzō,
Akutagawa,Japan,2000,H1,Kō Machida,Japan,"Rip It Up (きれぎれ, Kiregire)",Bungakukai,
Akutagawa,Japan,2000,H1,Hisaki Matsuura,Japan,Hana Kutashi (花腐し),Gunzō,
Akutagawa,Japan,2000,H2,Yūichi Seirai,Japan,Seisui (聖水),Bungakukai,
Akutagawa,Japan,2000,H2,Toshiyuki Horie,Japan,"The Bear and the Paving Stone (熊の敷石, Kuma no Shikiishi)",Gunzō,
Akutagawa,Japan,2001,H1,Sōkyū Gen'yū,Japan,Chūin no Hana (中陰の花),Bungakukai,
Akutagawa,Japan,2001,H2,Yū Nagashima,Japan,Mō-Supīdo de Haha wa (猛スピードで母は),Bungakukai,
Akutagawa,Japan,2002,H1,Shūichi Yoshida,Japan,Pāku Raifu (パーク・ライフ),Bungakukai,
Akutagawa,Japan,2002,H2,Tamaki Daidō,Japan,Shoppai Doraibu (しょっぱいドライブ),Bungakukai,
Akutagawa,Japan,2003,H1,Man'ichi Yoshimura,Japan,Hariganemushi (ハリガネムシ),Bungakukai,
Akutagawa,Japan,2003,H2,Hitomi Kanehara,Japan,"Snakes and Earrings (蛇にピアス, Hebi ni Piasu)",Subaru [ja],
Akutagawa,Japan,2003,H2,Risa Wataya,Japan,"I Want to Kick You in the Back (蹴りたい背中, Keritai Senaka)",Bungei,
Akutagawa,Japan,2004,H1,Norio Mobu,Japan,Kaigo Nyūmon (介護入門),Bungakukai,
Akutagawa,Japan,2004,H2,Kazushige Abe,Japan,Gurando Fināre (グランド･フィナーレ),Gunzō,
Akutagawa,Japan,2005,H1,Fuminori Nakamura,Japan,"The Boy in the Earth (土の中の子供, Tsuchi no Naka no Kodomo)",Shinchō,
Akutagawa,Japan,2005,H2,Akiko Itoyama,Japan,"Waiting in the Offing (沖で待つ, Oki de Matsu)",Bungakukai,
Akutagawa,Japan,2006,H1,Takami Itō,Japan,Hachigatsu no Rojō ni Suteru (八月の路上に捨てる),Bungakukai,
Akutagawa,Japan,2006,H2,Nanae Aoyama,Japan,"A Perfect Day to Be Alone (ひとり日和, Hitori Biyori)",Bungei,
Akutagawa,Japan,2007,H1,Tetsushi Suwa,Japan,Asatte no Hito (アサッテの人),Gunzō,
Akutagawa,Japan,2007,H2,Mieko Kawakami,Japan,Chichi to Ran (乳と卵),Bungakukai,
Akutagawa,Japan,2008,H1,Yang Yi,Japan,Toki ga Nijimu Asa (時が滲む朝),Bungakukai,
Akutagawa,Japan,2008,H2,Kikuko Tsumura,Japan,Potosu Raimu no Fune (ポトスライムの舟),Gunzō,
Akutagawa,Japan,2009,H1,Ken'ichirō Isozaki,Japan,Tsui no Sumika (終の住処),Shinchō,
Akutagawa,Japan,2009,H2,,Japan,,,No prize awarded
Akutagawa,Japan,2010,H1,Akiko Akazome,Japan,Otome no Mikkoku (乙女の密告),Shinchō,
Akutagawa,Japan,2010,H2,Mariko Asabuki,Japan,Kikotowa (きことわ),Shinchō,
Akutagawa,Japan,2010,H2,Kenta Nishimura,Japan,Kueki Ressha (苦役列車),Shinchō,
Akutagawa,Japan,2011,H1,,Japan,,,No prize awarded
Akutagawa,Japan,2011,H2,Toh EnJoe,Japan,"Harlequin's Butterfly (道化師の蝶, Dōkeshi no Chō)",Gunzō,
Akutagawa,Japan,2011,H2,Shinya Tanaka,Japan,"Cannibals (共喰い, Tomogui)",Subaru [ja],
Akutagawa,Japan,2012,H1,Maki Kashimada,Japan,"Touring the Land of the Dead (冥土めぐり, Meido Meguri)",Bungei,
Akutagawa,Japan,2012,H2,Natsuko Kuroda,Japan,ab Sango (abさんご),Waseda Bungaku [ja],
Akutagawa,Japan,2013,H1,Kaori Fujino,Japan,"Nails and Eyes (爪と目, Tsume to Me)",Shinchō,
Akutagawa,Japan,2013,H2,Hiroko Oyamada,Japan,"The Hole (穴, Ana)",Shinchō,
Akutagawa,Japan,2014,H1,Tomoka Shibasaki,Japan,"Spring Garden (春の庭, Haru no Niwa)",Bungakukai,
Akutagawa,Japan,2014,H2,Masatsugu Ono,Japan,Kyūnenmae no Inori (九年前の祈り),Gunzō,
Akutagawa,Japan,2015,H1,Keisuke Hada,Japan,Sukurappu Ando Birudo (スクラップ・アンド・ビルド),Bungakukai,
Akutagawa,Japan,2015,H1,Naoki Matayoshi,Japan,"Spark (火花, Hibana)",Bungakukai,
Akutagawa,Japan,2015,H2,Yūshō Takiguchi,Japan,Shinde Inai Mono (死んでいない者),Bungakukai,
Akutagawa,Japan,2015,H2,Yukiko Motoya,Japan,"An Exotic Marriage (異類婚姻譚, Irui Konin Tan)",Gunzō,
Akutagawa,Japan,2016,H1,Sayaka Murata,Japan,"Convenience Store Woman (コンビニ人間, Konbini Ningen)",Bungakukai,
Akutagawa,Japan,2016,H2,Sumito Yamashita,Japan,Shinsekai (しんせかい),Shinchō,
Akutagawa,Japan,2017,H1,Shinsuke Numata,Japan,Eiri (影裏),Bungakukai,
Akutagawa,Japan,2017,H2,Chisako Wakatake,Japan,Ora Ora de Hitori Igumo (おらおらでひとりいぐも),Bungei,
Akutagawa,Japan,2017,H2,Yūka Ishii,Japan,"The Mud of a Century (百年泥, Hyakunen Doro)",Shinchō,
Akutagawa,Japan,2018,H1,Hiroki Takahashi,Japan,Okuribi (送り火),Bungakukai,
Akutagawa,Japan,2018,H2,Ryōhei Machiya,Japan,1R 1-Pun 34-Byō (1R1分34秒),Shinchō,
Akutagawa,Japan,2018,H2,Takahiro Ueda,Japan,Nimuroddo (ニムロッド),Gunzō,
Akutagawa,Japan,2019,H1,Natsuko Imamura,Japan,"The Woman in the Purple Skirt (むらさきのスカートの女, Murasaki no Sukāto no Onna)",Shōsetsu Tripper [ja],
Akutagawa,Japan,2019,H2,Makoto Furukawa,Japan,Seitaka Awadachisō (背高泡立草),Subaru [ja],
Akutagawa,Japan,2020,H1,Haruka Tono,Japan,Hakyoku (破局),Bungei,
Akutagawa,Japan,2020,H1,Haneko Takayama,Japan,Shuri no Uma (首里の馬),Shinchō,
Akutagawa,Japan,2020,H2,Rin Usami,Japan,"Idol, Burning (推し、燃ゆ, Oshi, Moyu)",Bungei,
Akutagawa,Japan,2021,H1,Li Kotomi,Japan,Higanbana ga saku shima (彼岸花が咲く島),Bungakukai,
Akutagawa,Japan,2021,H1,Mai Ishizawa,Japan,"The Place of Shells (貝に続く場所にて, Kai ni tsudzuku basho nite)",Gunzō,
