prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,1989,H1,Nejime Shōichi,Japan,Kōenji Junjō Shōtengai (高円寺純情商店街; lit. Kōenji Purehearted Shopping District) Tooi Kuni kara no Satsujinsha (遠い国からの殺人者; lit. Murderer from a Distant Land),,Co-laureate
Naoki,Japan,1989,H1,Akira Sasakura,Japan,Kōenji Junjō Shōtengai (高円寺純情商店街; lit. Kōenji Purehearted Shopping District) Tooi Kuni kara no Satsujinsha (遠い国からの殺人者; lit. Murderer from a Distant Land),,Co-laureate
Naoki,Japan,1989,H2,Seiji Hashikawa,Japan,Kodenshō (小伝抄; lit. Precise Biographical Sketch) Watashi ga Koroshita Shōjo (私が殺した少女; lit. The Girl I Killed),,Co-laureate
Naoki,Japan,1989,H2,Ryō Hara,Japan,Kodenshō (小伝抄; lit. Precise Biographical Sketch) Watashi ga Koroshita Shōjo (私が殺した少女; lit. The Girl I Killed),,Co-laureate
Naoki,Japan,1990,H1,Tsumao Awasaka,Japan,Kage Kikyō (蔭桔梗; lit. Shadow Bellflower),,
Naoki,Japan,1990,H2,Kaoru Furukawa,Japan,Hyōhakusha no Aria (漂泊者のアリア; lit. A Vagabond's Aria),,
Naoki,Japan,1991,H1,Masamitsu Miyagitani,Japan,Kaki Shunjyū (夏姫春秋; lit. Summer Princess Spring and Autumn) Seishun Dendekedekedeke (青春デンデケデケデケ; lit. Youth Dendekedekedeke),,Co-laureate
Naoki,Japan,1991,H1,Sunao Ashihara,Japan,Kaki Shunjyū (夏姫春秋; lit. Summer Princess Spring and Autumn) Seishun Dendekedekedeke (青春デンデケデケデケ; lit. Youth Dendekedekedeke),,Co-laureate
Naoki,Japan,1991,H2,Yoshio Takahashi,Japan,Ōkami Bugyō (狼奉行; lit. Wolf Magistrate) Akai Kioku (緋い記憶; lit. Red Memory),,Co-laureate
Naoki,Japan,1991,H2,Katsuhiko Takahashi,Japan,Ōkami Bugyō (狼奉行; lit. Wolf Magistrate) Akai Kioku (緋い記憶; lit. Red Memory),,Co-laureate
Naoki,Japan,1992,H1,Shizuka Ijūin,Japan,Uke Tsuki (受け月; lit. Receiving Month),,
Naoki,Japan,1992,H2,Tatsurō Dekune,Japan,Tsukudashima Futari Shobō (佃島ふたり書房; lit. Tsukuda Island Two Bookstores),,
Naoki,Japan,1993,H1,Kaoru Takamura,Japan,"Mākusu no Yama (マークスの山; lit. Marks' Mountain) The Budding Tree (恋忘れ草, Koi Wasuregusa)",,Co-laureate
Naoki,Japan,1993,H1,Aiko Kitahara,Japan,"Mākusu no Yama (マークスの山; lit. Marks' Mountain) The Budding Tree (恋忘れ草, Koi Wasuregusa)",,Co-laureate
Naoki,Japan,1993,H2,Arimasa Osawa,Japan,Shinjuku Zame – Mugen Ningyō (新宿鮫 無間人形; lit. Shinjuku Sharks: Infinite Puppets) Ebisu-ya Kihei Tebikae (恵比寿屋喜兵衛手控え; lit. Ebisu Shop Kihei Memorandum),,Co-laureate
Naoki,Japan,1993,H2,Masayoshi Satō,Japan,Shinjuku Zame – Mugen Ningyō (新宿鮫 無間人形; lit. Shinjuku Sharks: Infinite Puppets) Ebisu-ya Kihei Tebikae (恵比寿屋喜兵衛手控え; lit. Ebisu Shop Kihei Memorandum),,Co-laureate
Naoki,Japan,1994,H1,Akihiko Nakamura,Japan,Futatsu no Sanga (二つの山河; lit. Two Mountains and Rivers) Kikyō (帰郷; lit. Homecoming),,Co-laureate
Naoki,Japan,1994,H1,Yasuhisa Ebisawa,Japan,Futatsu no Sanga (二つの山河; lit. Two Mountains and Rivers) Kikyō (帰郷; lit. Homecoming),,Co-laureate
Naoki,Japan,1994,H2,,Japan,,,No prize awarded
Naoki,Japan,1995,H1,Shun Akasegawa,Japan,Hakkyū Zan'ei (白球残映),,
Naoki,Japan,1995,H2,Mariko Koike,Japan,Koi (恋; lit. Love) Terorisuto no Parasoru (テロリストのパラソル; lit. The Terrorist's Parasol),,Co-laureate
Naoki,Japan,1995,H2,Iori Fujiwara,Japan,Koi (恋; lit. Love) Terorisuto no Parasoru (テロリストのパラソル; lit. The Terrorist's Parasol),,Co-laureate
Naoki,Japan,1996,H1,Asa Nonami,Japan,"The Hunter (凍える牙, Kogoeru Kiba)",,
Naoki,Japan,1996,H2,Masako Bandō,Japan,Yamahaha (山妣; lit. Mountain Mother),,
Naoki,Japan,1997,H1,Setsuko Shinoda,Japan,"Onnatachi no Jihaado (女たちのジハード; lit. The Women's Jihad) The Stationmaster (鉄道員, Poppoya)",,Co-laureate
Naoki,Japan,1997,H1,Jirō Asada,Japan,"Onnatachi no Jihaado (女たちのジハード; lit. The Women's Jihad) The Stationmaster (鉄道員, Poppoya)",,Co-laureate
Naoki,Japan,1997,H2,,Japan,,,No prize awarded
Naoki,Japan,1998,H1,Chōkitsu Kurumatani,Japan,"The Paradise Bird Tattoo (赤目四十八瀧心中未遂, Akame Shijūya-taki Shinjū Misui)",,
Naoki,Japan,1998,H2,Miyuki Miyabe,Japan,Riyū (理由; lit. The Reason),,
Naoki,Japan,1999,H1,Kenichi Satō,Japan,Ōhi no Rikon (王妃の離婚; lit. The Queen's Divorce) Yawaraka na Hoho (柔らかな頬; lit. Soft Cheeks),,Co-laureate
Naoki,Japan,1999,H1,Natsuo Kirino,Japan,Ōhi no Rikon (王妃の離婚; lit. The Queen's Divorce) Yawaraka na Hoho (柔らかな頬; lit. Soft Cheeks),,Co-laureate
Naoki,Japan,1999,H2,Rei Nakanishi,Japan,Nagasaki Burabura Bushi (長崎ぶらぶら節; lit. Ballad of a Nagasaki Stroll),,
Naoki,Japan,2000,H1,Yoichi Funado,Japan,"May in the Valley of the Rainbow (虹の谷の五月, Niji no Tani no Gogatsu) Go",,Co-laureate
Naoki,Japan,2000,H1,Kazuki Kaneshiro,Japan,"May in the Valley of the Rainbow (虹の谷の五月, Niji no Tani no Gogatsu) Go",,Co-laureate
Naoki,Japan,2000,H2,Kiyoshi Shigematsu,Japan,Bitamin F (ビタミンF; lit. Vitamin F) Puranaria (プラナリア; lit. Planaria),,Co-laureate
Naoki,Japan,2000,H2,Fumio Yamamoto,Japan,Bitamin F (ビタミンF; lit. Vitamin F) Puranaria (プラナリア; lit. Planaria),,Co-laureate
Naoki,Japan,2001,H1,Yoshinaga Fujita,Japan,Ai no Ryōbun (愛の領分; lit. Territory of Love),,
Naoki,Japan,2001,H2,Ichiriki Yamamoto,Japan,Akanezora (あかね空; lit. A Deep-Red Sky) Katagoshi no Koibito (肩ごしの恋人; lit. Over-the-Shoulder Lover),,Co-laureate
Naoki,Japan,2001,H2,Kei Yuikawa,Japan,Akanezora (あかね空; lit. A Deep-Red Sky) Katagoshi no Koibito (肩ごしの恋人; lit. Over-the-Shoulder Lover),,Co-laureate
Naoki,Japan,2002,H1,Yuzaburō Otokawa,Japan,Ikiru (生きる; lit. To Live),,
